ID,Content,Aspect,Opinion,Sentiment
Love it!,The mist is super fine and the texture feels great on my skin.,mist,fine,POS
Love it!,The mist is super fine and the texture feels great on my skin.,texture,great,POS
Verified Purchase,"Love this product, so moisturizing and hydrating. I double cleanse at night and use this followed by alpha ret skin better science with moisturizer on top. Really nice addition to a simple night skincare routine. In the morning I apply it after my hyacin active spray by Hdrinity. This product has never broken me out and I have combo skin. I will not try any other face mists because this is it.",,,
Hydrating- non irritating. Refreshing mist.,It’s not too thick or oily as cream base mist! It’s light feeling and it is cooling your skin. I’m glad Amazon has this product with reasonable price! I recommend to people who has sensitive skin. To get Korean cosmetic product in US takes a lot of importing tax so the cost is high for Korean cosmetic but this is not that high price for that.,,,
Verified Purchase,"I love the scent that it gives, and how hydrating it is on the skin. However, be careful because it can get a little sticky on your face. It creates the dewey look so I don't mind it that much.",scent,love,POS
Good Korean Mist,"I’ve been using this one for the last month. In the winter, my skin is too dry, and wanted to get high high-functioning mist. I think this product did not match with their explanation like long lasting moisture.",,,
Verified Purchase,"I am sold. I happen to be one of those women who try all kinds of facial sprays. From drugstore to high end to make up brands. This one is special. It's hydrating, smells amazing and is worth every penny. At about $30 a bottle, it might seem steep but I will use it at night before my serums with out having to use a night cream. One less step!",,,
Great for moisturizing,It’s been a few weeks since I started to use this. My skin defines became softer and less breakouts! I can’t wait to try another PH line products!!,,,
Verified Purchase,It's really convenient to use after washing my face. Really good!,use,convenient,POS
Structure was good but not sure function,"Love the mist, and moisture it gives. Smells so nice and it’s refreshing.",,,
Verified Purchase,I heard this brand from my friend in Korea. I ordered for myself and loved it! I personally think it’s one of the best face mists i ever used. I order few more for my friend’s birthday.,,,
Best for hydration!,I have used this product since Korea.,,,
Verified Purchase,It's great that it's sold on Amazon.,,,
