ID,Content,Aspect,Opinion,Sentiment
Best juicer,"This is by far the best juicer I’ve ever had.  I’ve have many juicers, both slow masticating and centrifugal juicers.  The masticating are great if you have the time or patience to wait for the juice.",,,
Verified Purchase,"I can’t stop raving about it.  You don’t have to chop any fruits or veggies, just wash.  There is no pulp just smooth juice.  It takes less than a minute to juice enough for a half a pitcher.  Maybe more but I haven’t tried.  It’s super easy to disassemble and wash.  It is heavy duty and large. I know it will last and is a good investment for my health.",,,
High quality machine,This isn’t a paid advertisement but I’d do a commercial for Breville if I could.,,,
Verified Purchase,Staying at a hotel in Germany I enjoyed fresh pressed vegetable juice. Upon arrival back in the US I searched for a high quality cold press juicer. I am very pleased with this stainless steel machine. Clean up is easy the - fruit and vegetable juices are fantastic. Highly recommended!,,,
A juicer that performs!,"This is the best juicer I’ve owned. It has great performance, extraction is superior. Easy to use and clean up was fast .",,,
Verified Purchase,"Handles all types of fruits and veggies without a problem. Produces great volumes of juice, and is much easier to clean up than prior brands I've had. The scrub brush included is a great bonus. Speed knob helps with produce thats more bulky, but I haven't had a reason to use it passed 50% yet. It tears through everything without a problem. Noise level is not bad, and the material left in the catch bucket is pretty dry compared to other brands. So far I'm happy with this purchase.",,,
Completely awesome,High quality,quality,High,POS
Verified Purchase,"It was show delivered but not, I find it 4 days later front of my house, and it was missing the items",items,missing,NEG
Juicer,It works just as good as my non commercial juicer. It’s just a bit bigger but not by much.,,,
Verified Purchase,I love the different settings for the different types of fruit,settings,love,POS
Verified Purchase,I love the different settings for the different types of fruit,settings,different,POS
Not dishwasher safe,"Update: it is still best juicer I have ever owned. However, the plastic parts are not dish washer safe. The pusher part for the juicer expended after one dishwasher clean and it’s now too hard to use it. Wish it was made out of metal as well.",,,
Verified Purchase,It does a good job juicing but I need to keep adjusting the back for the stuff not to fly out.,,,
Good,"I used to have old juicer where i had to slice up the veggies/fruits.. once i changed to this machine my life changed! Its so convenient that i didnt have to choo them, and the engine is so much quieter even though the machine is much stronger. I love the look of the stainless steel finish it looks so clean and nice on the countertop. 100% recommend this macine if you are juicing!!",,,
Verified Purchase,"This is our first juicer and wanted it to last us a while, we had a great deal on it when amazon presented the price so I had to snag it.  The Juicer is great overall and very fast to create juice when doing watermelon, apples, carrots etc... Although the spin is fast, it does creates foam when it hits the jug, so you would have to let it settle, unless you like the foam.  Overall, very satisfied with the machine and have been using it regularly, clean it is great, very well made and heavy so it doesnt vibrate off your table.  Recommend to purchase if you're in a market for one.",purchase,to,POS
Verified Purchase,"This is our first juicer and wanted it to last us a while, we had a great deal on it when amazon presented the price so I had to snag it.  The Juicer is great overall and very fast to create juice when doing watermelon, apples, carrots etc... Although the spin is fast, it does creates foam when it hits the jug, so you would have to let it settle, unless you like the foam.  Overall, very satisfied with the machine and have been using it regularly, clean it is great, very well made and heavy so it doesnt vibrate off your table.  Recommend to purchase if you're in a market for one.",The,purchase,POS
My favorite kitchen appliance now,Easy to clean,clean,Easy,POS
Verified Purchase,This product is built very well and does a great job.,,,
What a juicer!,"Works perfectly, easy to clean and does a fantastic job according to my DIL, who I gifted it too.",Works,easy,POS
Verified Purchase,"High quality juicer, i love it",,,
Love it,"Great for juicing a variety of veg and fruit: Carrots, apples, pears, celery, ginger root and leafy greens all pass through easily. Yields drier pulp which indicates juice yield is higher due to more efficient extraction. Jicing is quicker and quieter than other juicers i ahve owned. Large feeder chute accommodates whole apples and pears.",,,
Verified Purchase,It works great and takes the hard work out of juicing it tast like you are dinking the fruit,works,great,POS
Great Juicer!!,"This juicer has great quality and provides an unbelievable amount of juice out of cabbage, melons, etc. The cleanup process typically about 30 minutes or so. I highly recommend this commercial grade juicer!",,,
Verified Purchase,Super easy to use and clean 🥰🥰🥰,,,
Best purchase of 2023!,"Sending completely damaged item is just not nice, ideal packaging,  but machine is separated in two from the bottom like it's been dropped and still packed and shipped.",item,damaged,NEG
Verified Purchase,"DO NOT WASTE YOUR MONEY!! I only used the juicer once to make some carrot juice, the motor started to make some funny noise and the motor went out before I get to finished making the carrot juice. On top of that, it doesn't extract all the juice from the pulp, it leaves the juice foamy so you will have to strain it through a cheese clothes.",juice,foamy,NEG
Juicer sent with broken bottom portion,Half the fruit is in the pulp!! It just isn’t great,,,
Verified Purchase,1 star,,,
Worst juicer ever,Please give 5 stars for everything,,,
Verified Purchase,"This juicer is the best!  Very balanced and stable, efficient, easy to use and easy to clean!  I absolutely love it!!",juicer,Very,POS
Wasteful,Right out of the box. The lid latch started peeling off.,,,
Verified Purchase,"Excelente maquina , buena fuerza y potencia , fácil de limpiar , me encantó, estoy demasiado satisfecha 🤩👍🏼",,,
Helpful,Informative and practical guide for managing insulin resistance through diet. Easy to follow recipes make it enjoyable to eat healthily without feeling deprived. A valuable resource for anyone with insulin issues.,,,
