ID,Content,Aspect,Opinion,Sentiment
Perfect Fit,These fit perfectly in my 2021 Santa Fe. I was going to get the weathertech mats but I thought I would give these a try first since they were less than half the price. They fit with no overlapping and are not oversized at all. I pull them out every week when I clean my car and wipe them down. Easy to put back in. They are not the cheap hard plastic that don't sit right. Soft plastic that is easy to clean. They haven't hardened in the cold either which is nice.,,,
Verified Purchase,"Just perfect...fit, quality, ease of use. Nice looking!",,,
Perfect fit!,"We had WeatherTech floor mats in our last car, but didn’t want to pay out that much money for our new car.  Read the reviews and went with these.  Some reported theirs arrived creased, our did not.  One lip was slightly out of whack, but once it sat in the car awhile, it fixed itself.  Fits perfectly in the car and seem very durable.  Time will tell, but I would recommend them.",,,
Verified Purchase,Fits perfectly for my car and keeps out sand and mud that gets tracked inside the car especially if it’s raining,,,
Nice durable mats.,"I am so happy with these floor mats! I wasn’t expecting much because they cost less than a set that I had to return due to failure to fit. The combo of the quality and the price is fantastic. They are a flexible,",,,
Verified Purchase,"Semi-thick rubber/plastic. They fit perfectly in my 2024 Palisade XRT. It doesn’t include a cargo mat for the back, but still well worth it!!!!",,,
Excellent floor mats,I think this was an amazing buy. It was such an amazing buy also bought my mother some they fit well they fit just like the more expensive ones that they offer online. I love them. You can vacuum them and they clean well you can wipe them off they keep your car so clean great buy for your vehicle.,,,
Verified Purchase,"Nice fit, easy in-and-out, and non slippery (getting in-and-out when wet).",,,
The combo of the quality and the price is fantastic!,"These are awesome.  I just put them in last night and they fit like a glow.  The holes lined up perfect with the hooks so they will certainly stay in place.  The second row did not seem to fit at first, I had to stretch it to get the hooks to line up.  This is only because they were fresh out of the box and had not settled from the folds.  The quality is excellent , I am sure they will prove to be durable and easy to clean.  The color is deep black with a texture, so they look really nice.",up,holes,POS
The combo of the quality and the price is fantastic!,"These are awesome.  I just put them in last night and they fit like a glow.  The holes lined up perfect with the hooks so they will certainly stay in place.  The second row did not seem to fit at first, I had to stretch it to get the hooks to line up.  This is only because they were fresh out of the box and had not settled from the folds.  The quality is excellent , I am sure they will prove to be durable and easy to clean.  The color is deep black with a texture, so they look really nice.",with,holes,POS
The combo of the quality and the price is fantastic!,"These are awesome.  I just put them in last night and they fit like a glow.  The holes lined up perfect with the hooks so they will certainly stay in place.  The second row did not seem to fit at first, I had to stretch it to get the hooks to line up.  This is only because they were fresh out of the box and had not settled from the folds.  The quality is excellent , I am sure they will prove to be durable and easy to clean.  The color is deep black with a texture, so they look really nice.","texture,",is with,POS
