ID,Content,Aspect,Opinion,Sentiment
Outstanding,"I've used several corkscrews of this type before, many of them double or triple the price of this unit. This one is much heavier and much sturdier, and it works really well.",,,
Verified Purchase,I highly recommend it.,,,
"Super awesome, easy to use.",Buy if you are on the fence.  Super easy to use at a great price.,Super,to,POS
"Super awesome, easy to use.",Buy if you are on the fence.  Super easy to use at a great price.,at,to,POS
Verified Purchase,Foil cutter is annoying and not implemented well but it will take the cork out of a bottle of wine. I would look at different tools unless this is the absolute best price you can find.,Foil cutter,annoying,NEG
"Foil cutter is not good, overall better wine openers out there for similar price but not bad.",It works as advertised and easy to use!,,,
It works!,"I thought I had found the greatest cork puller in the world until I replaced it with this one. The key is the LOND and large diameter round lifting handle. Even with arthritis in my hands, it’s a quick and easy job opening a bottle. So glad I stumbled across this because it’s a 10-star tool.",,,
Verified Purchase,"better than the more expensive Rabbit, and so far has lasted longer",,,
Easier cork puller than any other,"I've had a few electric wine bottle openers that tend to lose their charge or strength over time, so I'm happy to have this as a backup manual corkscrew opener.  Made by Drincarier, this matte black steel opener is solid, sturdy, handsome, and works like a charm.  They aren't kidding when they state that a bottle of wine can be opened in 3 seconds.  With little to almost no effort at all, the wine bottle opener delivered (i.e., uncorked) with a single down and up pull from the lever.",,,
Verified Purchase,"I would have a preferred a separate foil cutter, rather than the built-in (which takes a little skill), but its design and use is clever.  I've had a few rabbit-ears style bottle openers over the years, and this unit stands at as being among the best I've ever used. Packaged in a retail box that is ideal for gifting, with instructions for usage, this Drincarier wine bottle opener is ideally and expertly crafted.  Per the box, the unit has a 10-year guarantee.",,,
good,Recommended.  Made in China.,,,
So easy to use,"I have used this product for about a month and half now. It is extremely easy to open a wine bottle with this. Pull the lever up, place on the bottle neck, squeeze at the neck, pull the lever down, pull the lever up again, the corkscrew is out. To remove the corkscrew from the opener, pull the lever down, squeeze and pull the lever up.",,,
Extremely Well Made!,This Drincarier Vertical Lever Corkscrew with Non-Stick Worm is truly amazing. The corkscrew comes well packaged and gift-ready if looking for a well-made item for the wine lover in your life you have found the one.,,,
Quite classy looking and works great!,The corkscrew is well constructed and extremely durable making it easy to use without fear of it breaking. Opens bottles like a charm with little to no effort on your part. The sleek black design gives off a modern design but would look good paired with any bareware.,corkscrew,well constructed,POS
Quite classy looking and works great!,The corkscrew is well constructed and extremely durable making it easy to use without fear of it breaking. Opens bottles like a charm with little to no effort on your part. The sleek black design gives off a modern design but would look good paired with any bareware.,corkscrew,durable,POS
"Good size, easy to hold",I'm extremely happy with this product. Trust me your hands will thank you!,,,
Sturdy Product,"It is quite the treat to open wine bottles with this corkscrew - and you can look good doing it :) This makes opening a wine bottle look cool once you get the hang of it. Learning how to use it only takes 30 seconds - but once you got it, you got it! The handle/grip part that you cut the foil with and pull the cork out is easy to use. The unit itself is compact but it is very solid and has a good weight to it. This will be great for the holidays when more wine gets opened around here -  but I know this will be up for the task!",,,
High quality wine opener,"This wine opener is smaller and easier for me to use than the name brand that I have.  It has a nice feel enough weight so it still feels substantial.  It pulls corks very well.  I wish it came with additional screws.  The foil cutter takes a little dexterity and practice.  You have to get the wine bottle snugly up in the unit, hold the opener tightly on the wine bottle, and then I turn the bottle while squeezing the opener on the bottle.  I really like this wine opener especially because it is smaller and a little lighter than my old opener.",wine opener,smaller,POS
High quality wine opener,"This wine opener is smaller and easier for me to use than the name brand that I have.  It has a nice feel enough weight so it still feels substantial.  It pulls corks very well.  I wish it came with additional screws.  The foil cutter takes a little dexterity and practice.  You have to get the wine bottle snugly up in the unit, hold the opener tightly on the wine bottle, and then I turn the bottle while squeezing the opener on the bottle.  I really like this wine opener especially because it is smaller and a little lighter than my old opener.",little dexterity,takes,POS
So far so good,"The Drincarier corkscrew wine opener is heavy-duty, and won't bend and break like my previous one.  It effortlessly removes the cork! This would make an excellent gift for wine lovers.",,,
Nice quality!,This wine opener has some heft to it - it feels like a quality product out of the box. I have never been able to open wine bottles with a traditional corkscrew - I just end up making a mess. With this wine opener - 5 seconds and I've got the cork out with no mess.,wine opener,heft,NEG
Super high quality.  Works great and is heavy duty!,Just got this and used it to open a couple bottles of wine tonight. So far so good. It has a nice weight to it and feels sturdy. All the mechanisms work very smoothly. It also has a 10 year guarantee. Would definitely recommend!,,,
A high-quality wine opener,"I was pleasantly surprised when I received this.  It's really heavy and great quality, and comes in a nice, sturdy box so would make a wonderful gift.  It works great, as you would expect, and is satisfying to use.  Very nice item!",so,box,POS
A high-quality wine opener,"I was pleasantly surprised when I received this.  It's really heavy and great quality, and comes in a nice, sturdy box so would make a wonderful gift.  It works great, as you would expect, and is satisfying to use.  Very nice item!",as,works,POS
Works like a charm!!,High quality wine opener.  Very sturdy piece and opens wine with no problem!  Great replacement for my current one.,Very,piece,POS
Works like a charm!!,High quality wine opener.  Very sturdy piece and opens wine with no problem!  Great replacement for my current one.,replacement,for,POS
Super sturdy,Beautiful and sturdy,,,
"Terrific design, I like it better than similar type corkscrew","This is it amazing corkscrew, with a nice ergonomic design that I like better than the better known brand name version. The lever that grips the bottle as you remove the cork with the other lever is very easy to use, and I was able to uncork a bottle the first time using it with virtually no issues or hesitation. It has a very nice presentation in its box, with die cut hard foam firmly holding the device. The only unusual thing I noticed is that the illustration on the box shows chrome handles, but the actual corkscrew is completely matte black including the handles. I personally prefer it as all matte black.",,,
