ID,Content,Aspect,Opinion,Sentiment
Great product,I likes the 8 trays and the ease of usage.,8 trays,likes,POS
Verified Purchase,"I bought this for my daughter for Christmas so she could dry all her herbs which it works perfect for, but now she is trying just about everything and it is doing a wonderful job it is a good dehydrator. Lightweight and not very noisy and you can use it for a lot of stuff or a little stuff the trays all are removable and stackable",,,
Herbs,Need to keep adding time to it to get hot peppers dry. No drying time for them. Adding time and heat oh well.,,,
Verified Purchase,I love this one it is easily cleanable. It does a great job for the different things we use it for.,,,
Ok but not the greatest,"This thing rocks. It's everything you can hope for, it holds a lot of goods, temp and time control and is quiet.",,,
Verified Purchase,Works great,Works,great,POS
Love it,Do yourself a favor and buy a nesco. Around the same price point but works ten times better. This one takes literal days to dry something when it should only take 8 hours.  It holds a lot but that is really a mute point when it doesn't work. Bottom blower makes it incredibly difficult to clean.,,,
Verified Purchase,This is a Christmas gift. She will love it.,,,
WOW!,I did venison jerky and was pleasantly surprised at how easy this is to use. I love the timer feature. I did over cook mine just a tad but that was user error.,,,
Verified Purchase,Pros,,,
Nice little dehydrator,"I'm quite pleased with this little dehydrator so far.  I've only used it once to make banana chips, but for that it worked very well.  It is definitely a step up from the old round dehydrator I inherited from my parents.  This dehydrator is programmable.  You can set the temperature and time according to what you are dehydrating.  It doesn't take much room to store.  It is also attractive enough to leave setting out if you need to.  I like the fact that you can create a bit more space between the trays by reversing the trays.  And the trays are dishwasher safe, which is a big bonus in my book.  It comes with a set of tongs and a fine mesh insert for smaller items.  All in all a solid little dehydrator.",bonus,I've,POS
Nice little dehydrator,"I'm quite pleased with this little dehydrator so far.  I've only used it once to make banana chips, but for that it worked very well.  It is definitely a step up from the old round dehydrator I inherited from my parents.  This dehydrator is programmable.  You can set the temperature and time according to what you are dehydrating.  It doesn't take much room to store.  It is also attractive enough to leave setting out if you need to.  I like the fact that you can create a bit more space between the trays by reversing the trays.  And the trays are dishwasher safe, which is a big bonus in my book.  It comes with a set of tongs and a fine mesh insert for smaller items.  All in all a solid little dehydrator.",bonus,is,POS
Nice little dehydrator,"I'm quite pleased with this little dehydrator so far.  I've only used it once to make banana chips, but for that it worked very well.  It is definitely a step up from the old round dehydrator I inherited from my parents.  This dehydrator is programmable.  You can set the temperature and time according to what you are dehydrating.  It doesn't take much room to store.  It is also attractive enough to leave setting out if you need to.  I like the fact that you can create a bit more space between the trays by reversing the trays.  And the trays are dishwasher safe, which is a big bonus in my book.  It comes with a set of tongs and a fine mesh insert for smaller items.  All in all a solid little dehydrator.",the,is,POS
Nice little dehydrator,"I'm quite pleased with this little dehydrator so far.  I've only used it once to make banana chips, but for that it worked very well.  It is definitely a step up from the old round dehydrator I inherited from my parents.  This dehydrator is programmable.  You can set the temperature and time according to what you are dehydrating.  It doesn't take much room to store.  It is also attractive enough to leave setting out if you need to.  I like the fact that you can create a bit more space between the trays by reversing the trays.  And the trays are dishwasher safe, which is a big bonus in my book.  It comes with a set of tongs and a fine mesh insert for smaller items.  All in all a solid little dehydrator.",I've,can,POS
Nice little dehydrator,"I'm quite pleased with this little dehydrator so far.  I've only used it once to make banana chips, but for that it worked very well.  It is definitely a step up from the old round dehydrator I inherited from my parents.  This dehydrator is programmable.  You can set the temperature and time according to what you are dehydrating.  It doesn't take much room to store.  It is also attractive enough to leave setting out if you need to.  I like the fact that you can create a bit more space between the trays by reversing the trays.  And the trays are dishwasher safe, which is a big bonus in my book.  It comes with a set of tongs and a fine mesh insert for smaller items.  All in all a solid little dehydrator.",I've,is,POS
Not for jerky,It doesn't get hot enough to make jerky mine has been sitting in it for 11 houres still bloody and raw,,,
Compact & Efficient,"This food dehydrator works well. It is compact. The trays are plastic and it comes with silicone tongs. It is simple to program. So far I have made my dehydrator version of sun dried tomatoes. They were perfect. Also made some dog treats and dried herbs. The fan switches on and off which is to be expected. Everything was dehydrated evenly, though keeping size uniform helps. Pleased with this appkiance.",trays,plastic,POS
Small,Very disappointed in how small it was,,,
