ID,Content,Aspect,Opinion,Sentiment
Easy,So easy to use and does the job!,use,easy,POS
Verified Purchase,"I purchased this as a gift for my 90 year old mother who loves wine, and can no longer operate the old fashion wine opener.  She LOVES this opener, and I'm very impressed with this too.  I'm going to purchase more for gifts for friends for the holidays.  Great opener!!!!",going,with,POS
Great for Elderly,Using this is way easy every durability and works grate.,durability,easy,POS
Verified Purchase,The two-button electric wine opener is super handy especially for me. Although it runs on 4 AA batteries it does make opening wine bottles super easy. It’s very convenient and takes all the work out of opening my wine. Now time to enjoy another glass.,,,
Easy to use,This little wine opener has worked beautifully. I’ve opened a handful of bottles already with no issues. I normally use a basic waiter style opener that I often miss place so this was an upgrade. It has hit the center of the cork each time I’ve used it. The simple design doesn’t require any directions so anyone can use it. I would buy it again.,,,
Verified Purchase,The COKUNST Electric Wine Opener requires FOUR AA Batteries... I used four high-level rechargeable batteries.,,,
easy as wine,"It is a bit tricky securing the battery cap, but once secured, I opened a cock top bottle of wine.",,,
Verified Purchase,I am disappointed in the performance of the COKUNST Automatic Wine Opener...,,,
Works like a charm,1. it did NOT go in straight,,,
Verified Purchase,2. the cork split in half upon removal.,cork,split,NEG
Battery compartment,I’ve been fighting for an eternity trying to close the battery compartment. Why is this thing so hard to close?,,,
Verified Purchase,"""The opener does not perform the function for which it was intended.""",opener,does perform,NEG
Verified Purchase,"""The opener does not perform the function for which it was intended.""",opener,not perform,NEG
Verified Purchase,"""The opener does not perform the function for which it was intended.""",function,not perform,NEG
The opener does not perform the function for which it was intended.,"This thing works good, my only complaints are the battery compartment was a little difficult to access and put the cover back on, and the three bottles I opened with it, I felt like it gave everything it had to open them, and to me I would rather have something that has more power in reserve to get the job done... but ultimately it works and opens the bottle.",battery compartment,complaints,NEG
The opener does not perform the function for which it was intended.,"This thing works good, my only complaints are the battery compartment was a little difficult to access and put the cover back on, and the three bottles I opened with it, I felt like it gave everything it had to open them, and to me I would rather have something that has more power in reserve to get the job done... but ultimately it works and opens the bottle.",battery compartment,difficult access,NEG
Verified Purchase,100% love this wine bottle opener! It’s so easy to operate (see video) - you just hold the bottom button down and hold the wine bottle still until it cycle stops and then the cork is completely removed. It’s very slender and compact. The price is very reasonable and it works great!  Operates on four AA batteries and I have opened at least four or five bottles of wine and it’s no where near needing replacement batteries.  I think this will be perfect for a gift for any wine lovers!,,,
