ID,Content,Aspect,Opinion,Sentiment
Easy to use,"We liked how easy it was to dehydrate fruit - simple snacks to take along in the car.  Also appreciate how lightweight the unit is, and easy to move around.  Our adult children can easily pick up the unit from us and use it themselves.",snacks,simple,POS
Verified Purchase,"Love that it is not plastic and has plenty of shelves. I used it outside my home to dehydrate cayenne peppers. Took a little bit longer to do because it started raining that evening. It was on our front deck that has a cover, so the dehydrator was protected. (I had been warned to not dehydrate cayenne peppers inside my home).",,,
Used it outdoors under porch cover,"I ordered two of these and within a few weeks of receiving they stopped working. The top heating element went out in one, then the bottom element. A few days later same thing happened with the second machine. I’ve spent two weeks trying to get them replaced or refunded with no success. So much produce gone to waste.",,,
Verified Purchase,This works great!  I have done several batches of things and even had a power outage for a minute or so and it went back to the timer it was at which was great!  I recommend!,,,
Piece of garbage,"This thing works great and has everything you need to dehydrate literally anything you want. There are several racks that are included, which allow for so much variety in what you can dehydrate in one round. We made dog treats in them and they came out perfect. It heated up to temp quickly, treats came out wonderful and well made, and the clean up was a breeze. Highly recommend for the price.",works,great,POS
Piece of garbage,"This thing works great and has everything you need to dehydrate literally anything you want. There are several racks that are included, which allow for so much variety in what you can dehydrate in one round. We made dog treats in them and they came out perfect. It heated up to temp quickly, treats came out wonderful and well made, and the clean up was a breeze. Highly recommend for the price.",clean up,recommend,POS
Verified Purchase,I love it!!!,,,
Works Wonderful!,Lightweight and makes great jerky.  Perfect for RV,Perfect,great,POS
Works Wonderful!,Lightweight and makes great jerky.  Perfect for RV,Perfect,for,POS
Verified Purchase,Cheap feel and smells like plastic no light also Amazon never follows delivery instructions,feel,Cheap,POS
Works well!,Made beef jerky and it came out great! I would definitely recommend this,beef jerky,recommend,POS
Great buy,"My husband loves it. Its spacious and perfect for dehydrating any food, especially jerky.",,,
Not stainless steel,Pics showed stainless interior but it’s not. Only the trays are. Returned immediately,,,
Verified Purchase,I bought 2 and both stopped heating after using it a few times.,heating,stopped,NEG
Very disappointed,Had to throw out Partially dried food. This is a big issue because I'm disabled and get very little money plus the pain of having to send the dehydrator is a big inconvenience for me.,dehydrator,inconvenience,NEG
Verified Purchase,I thought it might be metal on the inside but it’s not it’s plastic. It smells weird and imparts that same smell to the food dehydrated inside. Everyone should know the harms of plastic including cancers and hormone disruption. Find one that isn’t plastic on the inside. This is a ripoff,,,
Dries food but is terrible,Worked for just two weeks. Heater gave out. It blew cold air only. All the meat ruined! Sat out overnight while the thing blew cold air. What a waste of money.,,,
Verified Purchase,Literally 2 days after return eligible date it stopped heating. Don’t buy!,,,
Lasted 2 weeks,The good:,,,
Verified Purchase,"I like the size, weight and design of this dehydrator.",weight,like,POS
Verified Purchase,"I like the size, weight and design of this dehydrator.",design,like,POS
Stopped heating,"I've been using one of those ancient circular column dehydrators which stacks as many round trays on top of each other as you need, within reason.",,,
Verified Purchase,"This new dehydrator takes up a defined, limited space.  Better for me as we downsize.  All the trays are included as well as a few accessory mesh and solid sheets to suit basic dehydrating needs.",Better,limited,NEG
Verified Purchase,"This new dehydrator takes up a defined, limited space.  Better for me as we downsize.  All the trays are included as well as a few accessory mesh and solid sheets to suit basic dehydrating needs.",the,Better,POS
Verified Purchase,"This new dehydrator takes up a defined, limited space.  Better for me as we downsize.  All the trays are included as well as a few accessory mesh and solid sheets to suit basic dehydrating needs.",Better,for,POS
Verified Purchase,"This new dehydrator takes up a defined, limited space.  Better for me as we downsize.  All the trays are included as well as a few accessory mesh and solid sheets to suit basic dehydrating needs.",included,well,POS
Great for making backpacking food!,"This dehydrator was easy to set up, came with multiple racks and silicone mats for fruit leather. I have dehydrated wild foraged mushrooms, orange slices, and fruit so far. The book comes with recommended temperatures and times and easy to follow recipes. Great addition to the kitchen.",,,
Great treat at half the store bought cost,"Before we had refrigeration, people had to dry their foods for long-term storage.  It could have been in a smokehouse or strips of meat on a line, drying in the sun.  Now we have dehydrator machines that can do the same thing in a significantly shorter time and without the flies and birds trying to eat the drying meat or pooping on it.",,,
Great set-up to get started,"For the first experiment, we bought 1.6 pounds of bottom round meat at around $12.  It was already cut thinly, and we would have cut it thicker if we had to do it ourselves.  Jerking meat is a little more art than science because the length of time to dry the food depends on your preference.  We like it ""al dente,"" like our bacon:  Cooked but still a little chewy.",,,
Top Notch - Great Design - Easy to Use,"We started at 145 for 60 minutes, then 150 for another hour, then 165 for 90 minutes, and the meat was excellent.  Thicker meats will require longer drying times.  It dehydrated to about half its original weight, and we figured that doing it ourselves would cost half what we would have bought at the store.  It could become an expensive treat.",,,
Great product,"The second experiment was with the spicy apple recipe in the manual.  Since apples are mostly water, this took nine hours, and they are super yummy.  You will need to figure out the drying times based on your personal preference.  The key thing with meat is that it needs to be a lean cut, and the internal temperature reaches (I believe) 165 to kill any bacteria that would form in long-term storage of the jerky.",,,
Efficient food dehydrator.,"I backpack a lot and find that commercial meals really add up quickly! I also have wanted a way to better control the ingredients I'm eating. This dehydrator has been phenomenal! It comes with multiple trays. I was also pleased to see that it included two 'mats' that are great for small items (think peas or carrot pieces) that might otherwise fall thru the holes in the trays as they dry. It also includes a a solid plastic tray that can either be used to line the bottom of the unit to make clean up easier or to allow you to dry liquid foods. The controls are really easy to use and I love the wide range of temperature settings. The fan is a little loud, but not overwhelming. I'm really pleased with this unit and have been able to get great results so far!",,,
We Love This! Easy to use and clean. A+,"I've been using this food dehydrator as an amateur beef jerky maker, and it's been perfect for helping me achieve amazing results. It's easy to assemble and has all the options I need.",,,
Great dehydrator!,"The stainless steel racks are easy to clean and make me feel confident about the cleanliness after a long drying process. The door closes securely, ensuring an even temperature throughout the unit. All the foods I've tried, have dried evenly, and I've achieved consistent results batch after batch.",stainless racks,easy clean,POS
Small but mighty,"The controls are intuitive, and I'm really impressed with the amount of food I can dry at one time. If I ever need to buy another food dehydrator, this will be the one I purchase.",food,impressed,POS
Great Food Dehydrator,Works great. Dehydrates very well. Low noise. Easy to use.,,,
Great!,"With 9 removable trays this is fantastic for making lots of jerky.  I was able to put a large amount of venison in the dehydrator - basically about 3x the amount I could fit in my old dehydrator. Super user friendly with easy, simple controls.  A great plus is the removable drip tray - makes it much easier to clean.  Very pleased.",great,controls.,POS
Great!,"With 9 removable trays this is fantastic for making lots of jerky.  I was able to put a large amount of venison in the dehydrator - basically about 3x the amount I could fit in my old dehydrator. Super user friendly with easy, simple controls.  A great plus is the removable drip tray - makes it much easier to clean.  Very pleased.",great,is the,POS
Great!,"With 9 removable trays this is fantastic for making lots of jerky.  I was able to put a large amount of venison in the dehydrator - basically about 3x the amount I could fit in my old dehydrator. Super user friendly with easy, simple controls.  A great plus is the removable drip tray - makes it much easier to clean.  Very pleased.",tray makes,is the,POS
got this for jerky and fruits,This dehydrator is straight up awesome... Really great for drying your own jerky which I have always wanted to do at home... I also love banana and apple chips which I use this dehydrator for. The settings are customizable allowing you to tweak the temperatures and set and forget the 48 hour timer... which is ideal for my busy schedule. Plus it's quieter than my roommate's gaming sessions so it won't disturb you either... It's easy to clean and has a really nice design... even comes with different trays for different treats. Really a nice addition to my kitchen setup so I'd highly recommend it!,banana chips,love,POS
got this for jerky and fruits,This dehydrator is straight up awesome... Really great for drying your own jerky which I have always wanted to do at home... I also love banana and apple chips which I use this dehydrator for. The settings are customizable allowing you to tweak the temperatures and set and forget the 48 hour timer... which is ideal for my busy schedule. Plus it's quieter than my roommate's gaming sessions so it won't disturb you either... It's easy to clean and has a really nice design... even comes with different trays for different treats. Really a nice addition to my kitchen setup so I'd highly recommend it!,settings,customizable,POS
got this for jerky and fruits,This dehydrator is straight up awesome... Really great for drying your own jerky which I have always wanted to do at home... I also love banana and apple chips which I use this dehydrator for. The settings are customizable allowing you to tweak the temperatures and set and forget the 48 hour timer... which is ideal for my busy schedule. Plus it's quieter than my roommate's gaming sessions so it won't disturb you either... It's easy to clean and has a really nice design... even comes with different trays for different treats. Really a nice addition to my kitchen setup so I'd highly recommend it!,trays,different,POS
got this for jerky and fruits,This dehydrator is straight up awesome... Really great for drying your own jerky which I have always wanted to do at home... I also love banana and apple chips which I use this dehydrator for. The settings are customizable allowing you to tweak the temperatures and set and forget the 48 hour timer... which is ideal for my busy schedule. Plus it's quieter than my roommate's gaming sessions so it won't disturb you either... It's easy to clean and has a really nice design... even comes with different trays for different treats. Really a nice addition to my kitchen setup so I'd highly recommend it!,settings,recommend,POS
Easy to Use,"I love a good dehydrator. I am a DIYer, and I like to make my own dehydrated fruit and jerky. This appliance works well and is very spacious. It is reasonably priced and would make a great housewarming gift for the right person. It has several racks, so you can make a nice amount of dehydrated food.",appliance,well,POS
Easy to Use,"I love a good dehydrator. I am a DIYer, and I like to make my own dehydrated fruit and jerky. This appliance works well and is very spacious. It is reasonably priced and would make a great housewarming gift for the right person. It has several racks, so you can make a nice amount of dehydrated food.",works,well,POS
Works great!,"Beautiful Stainless Steel outer shell with side handles so it is easy to move.  Very user friendly touch screen at the top.  Comes with metal trays, fruit roll up tray and 2 mesh trays.  User manual is easy to understand and it includes a recipe booklet.  Loving it.  Not loud at all when operating.  Easy to clean with soap and water rag.",Stainless shell,Beautiful,POS
