ID,Content,Aspect,Opinion,Sentiment
CRYSTAL CLEAR SOUND,"For years I wore an in-the-ear hearing aid. I thought an over-the-ear aid would interfere with my eyeglasses and not be very secure. Wrong on both accounts. I recently moved and my hearing aids were lost (with several larger things like a sewing machine). I could have returned to the same brand but decided instead to do some research first. Jabra topped the list in all the reviews I read. Jabras are small and easy to put on. They are so comfortable I forget I'm wearing them. Much more comfortable than the in-the-ear brand. Jabra has a nice solid charging case and I don't have to worry about fumbling with battery changes. (My old hands and small objects do not work well together.) The app is great for making sound adjustments and works best for me. I can hear the birds now. I didn't realize I couldn't hear birds until I played back a video I took one morning when I thought there was no sound. I was very aware that I could not clearly understand what people said and had to keep asking them to repeat or speak louder. This gets bothersome quickly for both parties. Jabras are a great investment. I'm not sure why it took 2 weeks from the time I ordered until delivery, perhaps it was a glitch. Look at the payment options and select the one best for you. Paying over time is a good choice and allows you to hear the birds sing.",,,
Verified Purchase,"They are pricey, but seem to be of good quality and support.  Very important to use the Jabra app to set up and use these. They seem to have a little trouble staying connected to my phone at times. Includes adequate documentation, spare rubber tips, filters and tools in a good sturdy box. Comes with set of large flash cards that will get you up and going in a very short time.",cards that,flash,POS
"Pricey for OTC, but seem to be good quality.","Amazon's new (to me) totally automated Customer Service system is awful.  Finally discovered a way to  explain my concerns through the ""chat"" feature.  Never did I talk directly to a real person.",,,
Verified Purchase,"A year or so ago, I got sudden hearing loss in my left ear. After seeing my ENT right away and being treated, he wanted to see how my hearing was after a year before deciding on the next step. He was leaning toward cochlear implant, but after my latest test, he wanted me to try a hearing aid. The ones he offers are very expensive so I decided to try over the counter first.",,,
Very Honest Audiologist,"I ordered the Jabra hearing aids, and thought they were helping. After the Jabra Audiologist read my test results, without even trying any tuning,  she said I should send them back and go back to my ENT for a higher end hearing aid.",,,
Verified Purchase,"That level of honesty is hard to find these days. They could have easily kept my money, especially since I thought they were helping.",honesty,hard find,NEG
Top Quality and Affordable!,"As far as the hearing aids themselves, they seemed really good. They kept a charge for a long time.",,,
Verified Purchase,"If you prefer virtual doctor visits over in-person, and like the idea of using an app on your phone to control your hearing aids, this may be a good fit for you.",,,
RETURN WINDOW SHORTER ON AMAZON THAN THE COMPANY,"I thought my hearing issues were ‘mild to moderate’. After taking the Jabra online hearing assessment, turns out my hearing loss in one ear was ‘severe’ and the other ‘moderate to severe’. At the recommendation of a friend, I made the decision to give Jabra Enhance a try and it has exceeded my expectations.",,,
Verified Purchase,"Highly recommend the premium support option for professional adjustments, as needed. By using their app, they can adjust your hearing aid settings remotely. Convenience and time-saving.",premium option,recommend,POS
Game Changer!!,"I recently purchased the Jabra Enhance Select 500 OTC Hearing Aids, and I am thoroughly impressed! From the moment I unboxed them, I could see the attention to detail in both design and functionality. These hearing aids are nearly invisible and incredibly comfortable to wear for long periods.",hearing aids,comfortable,POS
