ID,Content,Aspect,Opinion,Sentiment
"Thin, lightweight, and accurate","Ordered this scale to check my weight occasionally and was delighted to find its incredibly light weight compared to previous scales I’ve owned. You can toggle between kilograms and pounds and it only takes 3 AAA batteries which is nice. The scale is accurate and very sleek, it doesn’t take up much room in both height or width and is easy to move around. Pairing to the Bluetooth phone app is optional, the numbers read in large letters on the main display.",,,
Verified Purchase,Scale looks sleek and collects metrics very quickly. Weight is spot on and unit uses non-skid feet to keep it in place. Weight is shown by default in kilograms. Scale includes batteries and tape measure.,Scale,sleek,NEG
Sleek and fast scale,"The scale is nice quality. It did have my body fat higher than other methods (BodyStat had me at 15% and is a $2000 machine, skinfold had me at 19. This scale had me at 26%).  Most important is the trend tracking. This seems better than most as it isn’t just a mirror of BMI so it may actually be doing a body scan. I’ll have to use it over a few months to see how the body readings change.",,,
Verified Purchase,so thin and sleek looking. takes up no room which i love!,,,
Good Quality,"Scale is pretty accurate. When it measures, it doesn’t just measure my weight but also analyzes whole lots of data. Weight, Heartrate, BMI, Fat Mass, Fat Ratio, Muscle Rate, Muscle Mass, water ratio, protein ratio, etc. It feels like annual blood test but ones that you don’t have to starve the night before and drive early in the morning. The app gives you motivation to workout and be healthier again. It says my body age is older than my actual age",,,
Verified Purchase,"Can keep track of multiple users, that's perfectly what i needed for my family",,,
Works Great!,Works good for our whole family,Works,good,POS
Verified Purchase,"I wanted to a scale for my weight room. I found this one which is more then just a scale light weight, thin, and has a app to track different heath attributes. These include heart, bmi ect. Come ready right out the box and scan qr to download and setup your app.",,,
"Health Coach, rather than just a scale",Great scale with app showing many weight metrics! Very sturdy and works on carpet and hard floors.,scale,Great,POS
Verified Purchase,I love the quality of this scale.,quality,love,POS
Amazing Smart Weighing Scale,"I really love this stylish smart weighing scale. It gives me so many different metrics to track my fitness journey and progress. It calculated body fat mass,  body fat percentage, BMR,  Heart Rate and a lot of other metrics that I’d love to know and keep a track of. Their app is also super intuitive and easy to use. I’d definitely recommend buying this if you’re looking for an easy to use smart weighing scale.",,,
