ID,Content,Aspect,Opinion,Sentiment
Completely awesome,High quality,quality,High,POS
Verified Purchase,"It was show delivered but not, I find it 4 days later front of my house, and it was missing the items",items,missing,NEG
Verified Purchase,I love the different settings for the different types of fruit,settings,love,POS
Verified Purchase,I love the different settings for the different types of fruit,settings,different,POS
Verified Purchase,"This is our first juicer and wanted it to last us a while, we had a great deal on it when amazon presented the price so I had to snag it.  The Juicer is great overall and very fast to create juice when doing watermelon, apples, carrots etc... Although the spin is fast, it does creates foam when it hits the jug, so you would have to let it settle, unless you like the foam.  Overall, very satisfied with the machine and have been using it regularly, clean it is great, very well made and heavy so it doesnt vibrate off your table.  Recommend to purchase if you're in a market for one.",purchase,to,POS
Verified Purchase,"This is our first juicer and wanted it to last us a while, we had a great deal on it when amazon presented the price so I had to snag it.  The Juicer is great overall and very fast to create juice when doing watermelon, apples, carrots etc... Although the spin is fast, it does creates foam when it hits the jug, so you would have to let it settle, unless you like the foam.  Overall, very satisfied with the machine and have been using it regularly, clean it is great, very well made and heavy so it doesnt vibrate off your table.  Recommend to purchase if you're in a market for one.",The,purchase,POS
My favorite kitchen appliance now,Easy to clean,clean,Easy,POS
What a juicer!,"Works perfectly, easy to clean and does a fantastic job according to my DIL, who I gifted it too.",Works,easy,POS
Verified Purchase,It works great and takes the hard work out of juicing it tast like you are dinking the fruit,works,great,POS
Best purchase of 2023!,"Sending completely damaged item is just not nice, ideal packaging,  but machine is separated in two from the bottom like it's been dropped and still packed and shipped.",item,damaged,NEG
Verified Purchase,"DO NOT WASTE YOUR MONEY!! I only used the juicer once to make some carrot juice, the motor started to make some funny noise and the motor went out before I get to finished making the carrot juice. On top of that, it doesn't extract all the juice from the pulp, it leaves the juice foamy so you will have to strain it through a cheese clothes.",juice,foamy,NEG
Verified Purchase,"This juicer is the best!  Very balanced and stable, efficient, easy to use and easy to clean!  I absolutely love it!!",juicer,Very,POS
