ID,Content,Aspect,Opinion,Sentiment
The combo of the quality and the price is fantastic!,"These are awesome.  I just put them in last night and they fit like a glow.  The holes lined up perfect with the hooks so they will certainly stay in place.  The second row did not seem to fit at first, I had to stretch it to get the hooks to line up.  This is only because they were fresh out of the box and had not settled from the folds.  The quality is excellent , I am sure they will prove to be durable and easy to clean.  The color is deep black with a texture, so they look really nice.",up,holes,POS
The combo of the quality and the price is fantastic!,"These are awesome.  I just put them in last night and they fit like a glow.  The holes lined up perfect with the hooks so they will certainly stay in place.  The second row did not seem to fit at first, I had to stretch it to get the hooks to line up.  This is only because they were fresh out of the box and had not settled from the folds.  The quality is excellent , I am sure they will prove to be durable and easy to clean.  The color is deep black with a texture, so they look really nice.",with,holes,POS
The combo of the quality and the price is fantastic!,"These are awesome.  I just put them in last night and they fit like a glow.  The holes lined up perfect with the hooks so they will certainly stay in place.  The second row did not seem to fit at first, I had to stretch it to get the hooks to line up.  This is only because they were fresh out of the box and had not settled from the folds.  The quality is excellent , I am sure they will prove to be durable and easy to clean.  The color is deep black with a texture, so they look really nice.","texture,",is with,POS
The combo of the quality and the price is fantastic!,"These are awesome.  I just put them in last night and they fit like a glow.  The holes lined up perfect with the hooks so they will certainly stay in place.  The second row did not seem to fit at first, I had to stretch it to get the hooks to line up.  This is only because they were fresh out of the box and had not settled from the folds.  The quality is excellent , I am sure they will prove to be durable and easy to clean.  The color is deep black with a texture, so they look really nice.",holes,with,POS
Verified Purchase,"These mats fit perfectly in my 2023 Hyundai Palisade XRT!! I love them, definitely recommend!!",mats,perfectly,POS
Verified Purchase,"These mats fit perfectly in my 2023 Hyundai Palisade XRT!! I love them, definitely recommend!!",mats,love,POS
Verified Purchase,Nice fit at good price,fit,Nice,POS
Verified Purchase,Nice fit at good price,price,good,POS
Verified Purchase,These are better quality than others and they do fit the 2024 hyundai tucson pretty good.,quality,better,POS
Great Fit,Great quality,quality,Great,POS
perfit fit,"I bought for my Santa Fe, the fit is perfect, glad I bought this brand",fit,glad,POS
Verified Purchase,I think the mats are hard if they were softer they would fit even better,mats,hard,NEG
Very Impressed,Fit great and I like them,Fit,great,POS
Very Impressed,Fit great and I like them,Fit,like,POS
Verified Purchase,Very happy with the rubber weather liner for my 2023 Tuscan.,rubber liner,happy,POS
Ok fit with some wrinkles on the sides though,"Installation was easy but the mats were jammed inside the packaging box, and was hard for them to return to original shape. Instead, I found wrinkles here and there, and after installation, wrinkles still present and made the mats not able to cover all sides. FIt was OK, and coverage is pretty good except for areas with wrinkles.",Installation,easy,POS
Ok fit with some wrinkles on the sides though,"Installation was easy but the mats were jammed inside the packaging box, and was hard for them to return to original shape. Instead, I found wrinkles here and there, and after installation, wrinkles still present and made the mats not able to cover all sides. FIt was OK, and coverage is pretty good except for areas with wrinkles.",mats,jammed,NEG
