ID,Content,Aspect,Opinion,Sentiment
"Super awesome, easy to use.",Buy if you are on the fence.  Super easy to use at a great price.,Super,to,POS
"Super awesome, easy to use.",Buy if you are on the fence.  Super easy to use at a great price.,at,to,POS
Verified Purchase,Foil cutter is annoying and not implemented well but it will take the cork out of a bottle of wine. I would look at different tools unless this is the absolute best price you can find.,Foil cutter,annoying,NEG
Quite classy looking and works great!,The corkscrew is well constructed and extremely durable making it easy to use without fear of it breaking. Opens bottles like a charm with little to no effort on your part. The sleek black design gives off a modern design but would look good paired with any bareware.,corkscrew,well constructed,POS
Quite classy looking and works great!,The corkscrew is well constructed and extremely durable making it easy to use without fear of it breaking. Opens bottles like a charm with little to no effort on your part. The sleek black design gives off a modern design but would look good paired with any bareware.,corkscrew,durable,POS
High quality wine opener,"This wine opener is smaller and easier for me to use than the name brand that I have.  It has a nice feel enough weight so it still feels substantial.  It pulls corks very well.  I wish it came with additional screws.  The foil cutter takes a little dexterity and practice.  You have to get the wine bottle snugly up in the unit, hold the opener tightly on the wine bottle, and then I turn the bottle while squeezing the opener on the bottle.  I really like this wine opener especially because it is smaller and a little lighter than my old opener.",wine opener,smaller,POS
High quality wine opener,"This wine opener is smaller and easier for me to use than the name brand that I have.  It has a nice feel enough weight so it still feels substantial.  It pulls corks very well.  I wish it came with additional screws.  The foil cutter takes a little dexterity and practice.  You have to get the wine bottle snugly up in the unit, hold the opener tightly on the wine bottle, and then I turn the bottle while squeezing the opener on the bottle.  I really like this wine opener especially because it is smaller and a little lighter than my old opener.",little dexterity,takes,POS
Nice quality!,This wine opener has some heft to it - it feels like a quality product out of the box. I have never been able to open wine bottles with a traditional corkscrew - I just end up making a mess. With this wine opener - 5 seconds and I've got the cork out with no mess.,wine opener,heft,NEG
A high-quality wine opener,"I was pleasantly surprised when I received this.  It's really heavy and great quality, and comes in a nice, sturdy box so would make a wonderful gift.  It works great, as you would expect, and is satisfying to use.  Very nice item!",so,box,POS
A high-quality wine opener,"I was pleasantly surprised when I received this.  It's really heavy and great quality, and comes in a nice, sturdy box so would make a wonderful gift.  It works great, as you would expect, and is satisfying to use.  Very nice item!",as,works,POS
Works like a charm!!,High quality wine opener.  Very sturdy piece and opens wine with no problem!  Great replacement for my current one.,Very,piece,POS
Works like a charm!!,High quality wine opener.  Very sturdy piece and opens wine with no problem!  Great replacement for my current one.,replacement,for,POS
