ID,Content,Aspect,Opinion,Sentiment
Easy to use,"We liked how easy it was to dehydrate fruit - simple snacks to take along in the car.  Also appreciate how lightweight the unit is, and easy to move around.  Our adult children can easily pick up the unit from us and use it themselves.",snacks,simple,POS
Piece of garbage,"This thing works great and has everything you need to dehydrate literally anything you want. There are several racks that are included, which allow for so much variety in what you can dehydrate in one round. We made dog treats in them and they came out perfect. It heated up to temp quickly, treats came out wonderful and well made, and the clean up was a breeze. Highly recommend for the price.",works,great,POS
Piece of garbage,"This thing works great and has everything you need to dehydrate literally anything you want. There are several racks that are included, which allow for so much variety in what you can dehydrate in one round. We made dog treats in them and they came out perfect. It heated up to temp quickly, treats came out wonderful and well made, and the clean up was a breeze. Highly recommend for the price.",clean up,recommend,POS
Works Wonderful!,Lightweight and makes great jerky.  Perfect for RV,Perfect,great,POS
Works Wonderful!,Lightweight and makes great jerky.  Perfect for RV,Perfect,for,POS
Verified Purchase,Cheap feel and smells like plastic no light also Amazon never follows delivery instructions,feel,Cheap,POS
Works well!,Made beef jerky and it came out great! I would definitely recommend this,beef jerky,recommend,POS
Verified Purchase,I bought 2 and both stopped heating after using it a few times.,heating,stopped,NEG
Very disappointed,Had to throw out Partially dried food. This is a big issue because I'm disabled and get very little money plus the pain of having to send the dehydrator is a big inconvenience for me.,dehydrator,inconvenience,NEG
Verified Purchase,"I like the size, weight and design of this dehydrator.",weight,like,POS
Verified Purchase,"I like the size, weight and design of this dehydrator.",design,like,POS
Verified Purchase,"This new dehydrator takes up a defined, limited space.  Better for me as we downsize.  All the trays are included as well as a few accessory mesh and solid sheets to suit basic dehydrating needs.",Better,limited,NEG
Verified Purchase,"This new dehydrator takes up a defined, limited space.  Better for me as we downsize.  All the trays are included as well as a few accessory mesh and solid sheets to suit basic dehydrating needs.",the,Better,POS
Verified Purchase,"This new dehydrator takes up a defined, limited space.  Better for me as we downsize.  All the trays are included as well as a few accessory mesh and solid sheets to suit basic dehydrating needs.",Better,for,POS
Verified Purchase,"This new dehydrator takes up a defined, limited space.  Better for me as we downsize.  All the trays are included as well as a few accessory mesh and solid sheets to suit basic dehydrating needs.",included,well,POS
Great dehydrator!,"The stainless steel racks are easy to clean and make me feel confident about the cleanliness after a long drying process. The door closes securely, ensuring an even temperature throughout the unit. All the foods I've tried, have dried evenly, and I've achieved consistent results batch after batch.",stainless racks,easy clean,POS
Small but mighty,"The controls are intuitive, and I'm really impressed with the amount of food I can dry at one time. If I ever need to buy another food dehydrator, this will be the one I purchase.",food,impressed,POS
Great!,"With 9 removable trays this is fantastic for making lots of jerky.  I was able to put a large amount of venison in the dehydrator - basically about 3x the amount I could fit in my old dehydrator. Super user friendly with easy, simple controls.  A great plus is the removable drip tray - makes it much easier to clean.  Very pleased.",great,controls.,POS
Great!,"With 9 removable trays this is fantastic for making lots of jerky.  I was able to put a large amount of venison in the dehydrator - basically about 3x the amount I could fit in my old dehydrator. Super user friendly with easy, simple controls.  A great plus is the removable drip tray - makes it much easier to clean.  Very pleased.",great,is the,POS
Great!,"With 9 removable trays this is fantastic for making lots of jerky.  I was able to put a large amount of venison in the dehydrator - basically about 3x the amount I could fit in my old dehydrator. Super user friendly with easy, simple controls.  A great plus is the removable drip tray - makes it much easier to clean.  Very pleased.",tray makes,is the,POS
got this for jerky and fruits,This dehydrator is straight up awesome... Really great for drying your own jerky which I have always wanted to do at home... I also love banana and apple chips which I use this dehydrator for. The settings are customizable allowing you to tweak the temperatures and set and forget the 48 hour timer... which is ideal for my busy schedule. Plus it's quieter than my roommate's gaming sessions so it won't disturb you either... It's easy to clean and has a really nice design... even comes with different trays for different treats. Really a nice addition to my kitchen setup so I'd highly recommend it!,banana chips,love,POS
