ID,Content,Aspect,Opinion,Sentiment
Verified Purchase,"They are pricey, but seem to be of good quality and support.  Very important to use the Jabra app to set up and use these. They seem to have a little trouble staying connected to my phone at times. Includes adequate documentation, spare rubber tips, filters and tools in a good sturdy box. Comes with set of large flash cards that will get you up and going in a very short time.",cards that,flash,POS
Verified Purchase,"That level of honesty is hard to find these days. They could have easily kept my money, especially since I thought they were helping.",honesty,hard find,NEG
Verified Purchase,"Highly recommend the premium support option for professional adjustments, as needed. By using their app, they can adjust your hearing aid settings remotely. Convenience and time-saving.",premium option,recommend,POS
Game Changer!!,"I recently purchased the Jabra Enhance Select 500 OTC Hearing Aids, and I am thoroughly impressed! From the moment I unboxed them, I could see the attention to detail in both design and functionality. These hearing aids are nearly invisible and incredibly comfortable to wear for long periods.",hearing aids,comfortable,POS
Worked right out of the box,"These hearing aids are pretty impressive. They come in a case much like earbuds for charging, they're bluetooth, and the audio is pretty good. Most of all, these hearing aids are hard to see when you're wearing them, making the user feel less self-conscious. They also take up minimal space on and in the ear. They do come with a ton of reading material to get them programmed, but with some patience and probably some assistance, these are at a decent pricepoint and worth the effort.",hearing aids,hard see,NEG
wow,"Love these hearing aids, they are virtually invisible and very lightweight to wear. I don't really have actual hearing issues but these are way more beneficial than I expected them to be. Being able to understand someone without asking them to repeat what they said is a huge blessing. I really enjoy the Bluetooth music ability, the sound quality is nowhere near as good as the quality you get when using it as a hearing aid but it still does the job. The case is rather bulky as well which makes it harder to travel with. Overall I feel the price is a little too high but they work great.",case,bulky,NEG
Excellent for OTC,"The Jabra 500OTC hearing aids are pretty comfortable to wear, and the sound quality is nice and clear. I love that they're easy to set up without needing a professional fitting, and the instructions were straightforward to follow. You will need to install an app, there's no way around this that I could find.",sound quality,nice,POS
Great hearing aids!!,"The rechargeable batteries last all day, which is great because I don't have to worry about running out of power when I'm out and about. The Bluetooth connection worked on the first try and it let me stream music and take calls directly through the hearing aids, which makes everything much more convenient. Adjusting the volume and settings is also really simple through the app.",rechargeable batteries,great,POS
Great hearing aids!!,"The rechargeable batteries last all day, which is great because I don't have to worry about running out of power when I'm out and about. The Bluetooth connection worked on the first try and it let me stream music and take calls directly through the hearing aids, which makes everything much more convenient. Adjusting the volume and settings is also really simple through the app.",volume,simple,POS
Great hearing aids!!,"The rechargeable batteries last all day, which is great because I don't have to worry about running out of power when I'm out and about. The Bluetooth connection worked on the first try and it let me stream music and take calls directly through the hearing aids, which makes everything much more convenient. Adjusting the volume and settings is also really simple through the app.",settings,simple,POS
Absolutely AWESOME Hearing Aids!,"These particular hearing aids are far and away the best I have ever seen! The quality and craftmanship are peerless, and they are so easy to put in and take out of your ears! They are super easy to adjust the sound level to your particular liking and they are excellent at amplifying sound! I give these, my whole-hearted, best possible recommendation!",hearing aids,best,POS
"Wow, a wonderful set of hearing aids",Hearing aids have come a very long way! I am thrilled with all these can do and how easy they are to set up and start using.,Hearing aids,thrilled,POS
"works great, clear and long battery life","I love the customer service support that is available. I haven't had to use it yet, but I like what they say they can help you do or questions answered.",customer support,love,POS
Jabra Enhance Select 500 OTC Hearing Aids,"great ear piece for elders, help them to hear again very clear, with no delay, also with the background noise cancellation feature it helped step up to another level.",ear piece,great,POS
Great hearing aids,These are a great way to get to hear a phone call better. They work with androids as well as iOs. They have great sound and feel comfortable.,sound,great,POS
Customer service is trash,"These hearing aids are excellent quality in both sound and structure. They are super comfortable, and you can hardly feel that you're wearing them. They are easy to set up, and the sound quality is superb! You're able to also received calls on these and are compatible with Android devices.",hearing aids,excellent quality,POS
