PID,Content,Aspect,Opinion,Sentiment
115508890955,"Fast shipping, great seller, item packaging was perfect and the yarn was exactly as described. Great value, would buy from again!",item packaging,perfect,POS
115508890955,"Both items were correct and as described. It was a very pleasant transaction ans the seller was very cordial, even sending a personal note. The only issue I had was with the shipping. Though the seller has no control, I would have liked to have faster shipping considering I had tonpay for the shipping.",shipping,faster,POS
115508890955,"Item arrived on time, very well packaged, and exactly as described. This seller has great customer service and even left a very nice personalized note in the package! I a very happy and satisfied customer who would definitely buy from this seller again!",customer service,great,POS
115508890955,Excellent communication. Shipped fast. Exactly as described. Great seller,Shipped,Excellent,POS
115508890955,"Great value, just as described new, fast shipping and packaged very well.",shipping,fast,POS
115508890955,"Just as described new, great price fast shipping. Excellent seller",price,great,POS
115508890955,"Just as described new, great price fast shipping. Excellent seller",price,fast,POS
115508890955,"great communication, items as described , well packaged, and shipping quickly ..seller combined 3 auctions for shipping",shipping,quickly,POS
115508890955,"great communication, items as described , well packaged, and shipping quickly",shipping,quickly,POS
115508893019,"Fast shipping, great seller, item packaging was perfect and the yarn was exactly as described. Great value, would buy from again!",item packaging,perfect,POS
115508893019,"Both items were correct and as described. It was a very pleasant transaction ans the seller was very cordial, even sending a personal note. The only issue I had was with the shipping. Though the seller has no control, I would have liked to have faster shipping considering I had tonpay for the shipping.",shipping,faster,POS
115508893019,"Item arrived on time, very well packaged, and exactly as described. This seller has great customer service and even left a very nice personalized note in the package! I a very happy and satisfied customer who would definitely buy from this seller again!",customer service,great,POS
115508893019,Excellent communication. Shipped fast. Exactly as described. Great seller,Shipped,Excellent,POS
115508893019,"Great value, just as described new, fast shipping and packaged very well.",shipping,fast,POS
115508893019,"Just as described new, great price fast shipping. Excellent seller",price,great,POS
115508893019,"Just as described new, great price fast shipping. Excellent seller",price,fast,POS
115508893019,"great communication, items as described , well packaged, and shipping quickly ..seller combined 3 auctions for shipping",shipping,quickly,POS
115508893019,"great communication, items as described , well packaged, and shipping quickly",shipping,quickly,POS
115508893019,Item as described at a great price and fast shipping. Excellent communication from the seller. Thank you.,price,great,POS
115508893019,Easy transaction. Fast shipping. Lip color was in perfect condition as stated. Would definitely shop here again! Great seller. Thanks!,Lip color,Fast,POS
115508893019,"Just as described. Brand new, very reasonable price. Stellar shipping as well! Thank you",shipping,Stellar,POS
115508893019,"I appreciate the communication the seller has with the customer. I didn't realize when I ordered my item that the seller was out of town. So, after a couple days of waiting, I sent a message asking when the item might ship. I received a quick response stating my item would ship as soon as they returned. Which it did. It was so nice to know my order wasn't lost. Thanks for the quick shipping and a great product too.",shipping,appreciate,POS
115508893019,"I appreciate the communication the seller has with the customer. I didn't realize when I ordered my item that the seller was out of town. So, after a couple days of waiting, I sent a message asking when the item might ship. I received a quick response stating my item would ship as soon as they returned. Which it did. It was so nice to know my order wasn't lost. Thanks for the quick shipping and a great product too.",shipping,quick,POS
115508893019,sent exactly what I ordered. Wrapped safely and delivered quickly,Wrapped,safely,POS
115508893019,sent exactly what I ordered. Wrapped safely and delivered quickly,delivered,quickly,POS
115508893019,"They took a bit to get here, but once they did, I could not believe how secure the package was! Wrapped in bubble wrap, then taped, then in a box. Always love Erno Lazlo products .",package,could believe,NEG
115508893019,"They took a bit to get here, but once they did, I could not believe how secure the package was! Wrapped in bubble wrap, then taped, then in a box. Always love Erno Lazlo products .",package,secure,POS
115508893019,Great seller! Fast shipping even during the holidays. Good quality product. Thank you!,shipping,Fast,POS
115508893019,"Love it! As described and creme is still rich and creamy, extremely happy! Excellent Seller, thank you!!",creme,Love,POS
115508893019,"Love it! As described and creme is still rich and creamy, extremely happy! Excellent Seller, thank you!!",creme,rich,POS
115508893019,GOOD SELLER WITH FAST SHIPPING,SHIPPING,FAST,POS
115508893019,Fast shipping and great price,shipping,Fast,POS
115508893019,Fast shipping and great price,price,great,POS
115508893019,Item as described and super fast shipping,shipping,fast,POS
115508927639,"Fast shipping, great seller, item packaging was perfect and the yarn was exactly as described. Great value, would buy from again!",item packaging,perfect,POS
115508927639,"Both items were correct and as described. It was a very pleasant transaction ans the seller was very cordial, even sending a personal note. The only issue I had was with the shipping. Though the seller has no control, I would have liked to have faster shipping considering I had tonpay for the shipping.",shipping,faster,POS
115508927639,"Item arrived on time, very well packaged, and exactly as described. This seller has great customer service and even left a very nice personalized note in the package! I a very happy and satisfied customer who would definitely buy from this seller again!",customer service,great,POS
115508927639,Excellent communication. Shipped fast. Exactly as described. Great seller,Shipped,Excellent,POS
115508927639,"Great value, just as described new, fast shipping and packaged very well.",shipping,fast,POS
115508927639,"Just as described new, great price fast shipping. Excellent seller",price,great,POS
115508927639,"Just as described new, great price fast shipping. Excellent seller",price,fast,POS
115508927639,"great communication, items as described , well packaged, and shipping quickly ..seller combined 3 auctions for shipping",shipping,quickly,POS
115508927639,"great communication, items as described , well packaged, and shipping quickly",shipping,quickly,POS
115508927639,"Great price, fast shipping and very good seller!",shipping,fast,POS
115508927639,Item as described. Shipping was fast and item was packaged very well.,Shipping,fast,POS
115508927639,Great price and fast shipping! Would deal with again!,price,Great,POS
115508927639,I love this store! Five star seller. Items just as pictured and described in listing. Shipped lightning fast!,Shipped,love,POS
115508927639,Very nice shirt. Good quality cotton Very reasonable shipping cost I highly recommend this seller !,quality cotton,Good,POS
115508927639,Very nice shirt. Good quality cotton Very reasonable shipping cost I highly recommend this seller !,shipping cost,reasonable,POS
